,name,order,quantity,sku
364,"Miele SNRF3 BOOST CX1 чорний обсідіан, арт. 41NRF331UA (шт.)", ,2,41NRF331UA
376,"Miele Caps Sport (10шт) Засіб для прання спортивного одягу 11997085EU2, арт. 11997085EU2 (шт.)", ,3,11997085EU2
402,"Miele ёмкость для TwinDos 1 10223070, арт. 10223070 (шт.)", ,3,10223070
408,"Miele Засіб для чистки блока TwinDos, арт. 11997165RU (шт.)", ,7,11997165RU
417,"Miele Порошковий миючий засіб для білого UltraWhite (1,1кг), арт. 11997266EU6 (шт.)", ,3,11997266EU6
429,"Miele G 7560 SCVi, арт. G 7560 SCVi (шт.)", ,1,G 7560 SCVi
432,"Miele WCR 870 WPS, арт. WCR 870 WPS (шт.)",1,1,WCR 870 WPS
436,"Miele WWV 980 WPS, арт. WWV 980 WPS (шт.)",3,2,WWV 980 WPS
446,"Miele TWV 680 WP Passion, арт. TWV 680 WP Passion (шт.)",1,2,TWV 680 WP Passion
452,"Miele KDN 4174 E Active нерж.сталь, арт. 38417451OER (шт.)", ,1,38417451OER
