,manufacturer,sku,quantity,price
359,Falmec,KACL.108,1,3725.3
360,Falmec,KACL.127,2,47000
361,Falmec,KACL.128,2,52000
362,Falmec,KACL.129,1,74000
363,Falmec,KACL.274,1,11600
364,Falmec,KACL.343,1,938.63
365,Falmec,KACL.796#4AF,2,22500
366,Falmec,KACL.840#I,1,2221.34
367,Falmec,KACL.938,1,23833.23
368,Falmec,KCHZN.00#I,1,6359.66
369,Falmec,KCVJN.00#3,2,1090.05
370,Falmec,CGPW80.E0P2#ZZZI410F,5,24990
371,Falmec,CZUN90.E0P2#ZZZI410F,1,41000
372,Falmec,CVXN55.E0P2#ZZZF491F,1,22900
373,Falmec,CVXN55.E0P2#ZZZN491F,1,22900
374,Falmec,CGRW70.E1P2#ZZZI491F,2,20990
375,Falmec,CQPN90.E1P2#ZZZF491F,1,36800
376,Falmec,CMKN90.E4P2#ZZZN490F,1,29900
377,Falmec,CGXW50.E0P6#ZZZI441F,1,59990
378,Falmec,KACL.746#HF,1,1968.47
379,Falmec,KACL.744#IF,1,4905.67
380,Falmec,KACL.745#IF,1,6329.55
381,Falmec,KACL.748#HF,1,4905.67
382,Falmec,KACL.748#IF,1,6995.45
383,Falmec,CUZQ90.00P8#ZZZN460F,1,86625
384,Falmec,CBIN70.E4#ZZZ3460F,1,7599
385,Falmec,101080087,8,1500
386,Falmec,101080088,10+,850
387,Falmec,CPCI90.E2P2#ZZZN491F,2,36000
388,Falmec,CPWN90.E4P2#ZZZA491F,2,29900
389,Falmec,CPWI90.E4P2#ZZZA491F,2,34500
390,Falmec,CPWN90.E4P2#ZZZC491F,1,29500
391,Falmec,KACL.143,1,1423
392,Falmec,500016413#I,2,1900
393,Falmec,500016412#I,2,1900
394,Falmec,CVXN85.E1P2#ZZZF490F,1,39900
395,Falmec,CBIN50.E9P2#ZZZN460F,4,13990
396,Falmec,CBIN50.E10#ZZZ3460F,6,11000
397,Falmec,CGPW90.E2P2#ZZZI491F,4,20990
398,Falmec,KCPLN.000#B,1,3500
399,Falmec,CBIN70.E10#ZZZN460F,5,11500
400,Falmec,CBIN50.E10#ZZZN460F,5,11000
401,Falmec,CSKI20.E0P2#ZZZI400F,1,42800
402,Falmec,KACL.951,1,15536.1
403,Falmec,P02F3852.00#ZZZN4EUF,2,31500
404,Falmec,CVJN60.E17P2#ZZZN460F,1,14990
405,Falmec,CVJN90.E17P2#ZZZ3460F,1,15500
406,Falmec,CVJN90.E17P2#ZZZN460F,1,15500
